date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:38	872/872	---MCZ	200	added ('OK')	text/xml	date:Sun,%2004%20Dec%202016%2021:01:42%20GMT	http://demo.wpzoom.com/tribune/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/xmlrpc0db0.php	(from http://demo.wpzoom.com/tribune/)
21:01:38	15363/15363	---MCZ	200	added ('OK')	application/json	date:Sun,%2004%20Dec%202016%2021:01:43%20GMT	http://demo.wpzoom.com/tribune/wp-json/	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/wp-json/index.html	(from http://demo.wpzoom.com/tribune/)
21:01:38	1045/1045	---M--	200	added ('OK')	text/xml	etag:%2252aa1e14-415%22	http://demo.wpzoom.com/tribune/wp-includes/wlwmanifest.xml	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/wp-includes/wlwmanifest.xml	(from http://demo.wpzoom.com/tribune/)
21:01:39	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2004%20Dec%202016%2021:01:37%20GMT	http://demo.wpzoom.com/tribune/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/wp-includes/js/jquery/jqueryb8ff.js	(from http://demo.wpzoom.com/tribune/)
21:01:40	55604/55604	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Dec%202016%2021:01:44%20GMT	http://demo.wpzoom.com/tribune/archives/	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/archives/index.html	(from http://demo.wpzoom.com/tribune/)
21:01:41	47292/47292	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Dec%202016%2021:01:44%20GMT	http://demo.wpzoom.com/tribune/about/	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/about/index.html	(from http://demo.wpzoom.com/tribune/)
21:01:43	58845/58845	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Dec%202016%2021:01:46%20GMT	http://demo.wpzoom.com/tribune/category/world/	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/category/world/index.html	(from http://demo.wpzoom.com/tribune/)
21:01:43	58170/58170	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Dec%202016%2021:01:45%20GMT	http://demo.wpzoom.com/tribune/category/politics/	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/category/politics/index.html	(from http://demo.wpzoom.com/tribune/)
21:01:44	41291/41291	---M--	200	added ('OK')	image/jpeg	etag:%2256d9777a-a14b%22	http://demo.wpzoom.com/tribune/files/2014/03/Barack_Obama_at_Las_Vegas_Presidential_Forum-650x433.jpg	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/files/2014/03/Barack_Obama_at_Las_Vegas_Presidential_Forum-650x433.jpg	(from http://demo.wpzoom.com/tribune/)
21:01:49	58131/58131	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Dec%202016%2021:01:50%20GMT	http://demo.wpzoom.com/tribune/category/sport/	C:/Mes%20Sites%20Web/News/Tribune/demo.wpzoom.com/tribune/category/sport/index.html	(from http://demo.wpzoom.com/tribune/)
